model_type,test_set,cs_ratio,atk_mode,atk_iter,atk_alp,atk_elp,smooth,smooth_sample,smooth_std,ord_psnr,atk_psnr,ord_loss,atk_loss,ub_loss,atk_dis,ub_dis,ql,qu
ordinary,BSD68,0.1,1,5,10000,7.5,1,250,0.01,27.870066,22.550125,160.57709,403.41925,404.82468,0.002331196,0.002349655,0,249
JCBgma20,BSD68,0.1,1,5,10000,7.5,1,250,0.01,28.185642,22.716509,149.4121,383.86386,384.64838,0.002417229,0.002432322,0,249
ADV,BSD68,0.1,1,5,10000,7.5,1,250,0.01,28.074839,22.684721,153.73567,389.8266,391.35913,0.002275315,0.002294977,0,249
smtADV,BSD68,0.1,1,5,10000,7.5,1,250,0.01,28.257519,20.062834,146.81471,663.67615,1204.9758,0.006721871,0.01620796,0,249
STH,BSD68,0.1,1,5,10000,7.5,1,250,0.01,26.419735,23.661337,191.22006,346.97873,424.7675,0.00159039,0.002980859,0,249
ordinary,BSD68,0.1,1,5,10000,7.5,1,250,0.5,27.87403,22.588081,160.29443,399.81714,401.2881,0.002311464,0.002331146,0,249
JCBgma20,BSD68,0.1,1,5,10000,7.5,1,250,0.5,28.18315,22.704088,149.41475,384.5882,385.33875,0.002454981,0.002469249,0,249
ADV,BSD68,0.1,1,5,10000,7.5,1,250,0.5,28.072855,22.716236,153.9805,388.5386,390.20703,0.002276331,0.002298059,0,249
smtADV,BSD68,0.1,1,5,10000,7.5,1,250,0.5,28.265867,20.12937,146.65388,654.93884,1180.6035,0.006757531,0.016181257,0,249
STH,BSD68,0.1,1,5,10000,7.5,1,250,0.5,26.406925,23.62971,191.47069,348.02728,425.27527,0.001595905,0.002969616,0,249
ordinary,BSD68,0.1,1,5,10000,7.5,1,250,2,27.88377,22.617874,160.21031,398.87796,400.62238,0.002293143,0.002315716,0,249
JCBgma20,BSD68,0.1,1,5,10000,7.5,1,250,2,28.196882,22.673527,149.3852,386.8397,387.64975,0.002465953,0.00248038,0,249
ADV,BSD68,0.1,1,5,10000,7.5,1,250,2,28.06987,22.700993,153.92145,390.43228,392.12466,0.002290035,0.002311581,0,249
smtADV,BSD68,0.1,1,5,10000,7.5,1,250,2,28.265884,20.11989,146.6499,656.2206,1185.0579,0.006769058,0.016188908,0,249
STH,BSD68,0.1,1,5,10000,7.5,1,250,2,26.45558,23.665491,190.44191,347.78418,426.0026,0.0016243,0.003003523,0,249
ordinary,BSD68,0.1,1,5,10000,7.5,1,250,5,27.876215,22.614641,160.32216,398.80188,400.4879,0.002288565,0.002309226,3,248
JCBgma20,BSD68,0.1,1,5,10000,7.5,1,250,5,28.185284,22.703846,149.33028,384.28494,385.55542,0.002382403,0.002398934,3,248
ADV,BSD68,0.1,1,5,10000,7.5,1,250,5,28.073162,22.709719,153.79778,387.8514,389.61896,0.002257641,0.0022789,3,248
smtADV,BSD68,0.1,1,5,10000,7.5,1,250,5,28.272224,20.103836,146.6041,658.6578,941.56726,0.006764937,0.012099386,3,248
STH,BSD68,0.1,1,5,10000,7.5,1,250,5,26.433882,23.688372,190.93489,345.53116,380.89673,0.00157982,0.002328923,3,248
,,,,,,,,,,,,,,,,,,
ordinary,BSD68,0.1,1,5,10000,7.5,0,0,0,27.879753,22.624784,160.12828,398.9224,0,0.00230252,0,0,0
JCBgma20,BSD68,0.1,1,5,10000,7.5,0,0,0,28.187237,22.653929,149.27676,387.8746,0,0.002482289,0,0,0
ADV,BSD68,0.1,1,5,10000,7.5,0,0,0,28.065971,22.70253,153.92406,391.25076,0,0.00229277,0,0,0
,,,,,,,,,,,,,,,,,,
STH,BSD68,0.1,1,5,10000,7.5,0,0,0,26.45195,24.4874,190.3367,287.6707,0,0.000650001,0,0,0
ordinary,BSD68,0.1,1,5,10000,7.5,1,250,0.1,27.862581,22.565084,160.5272,401.64734,403.0107,0.002317087,0.002335824,0,249
ADV,BSD68,0.1,1,5,10000,7.5,1,250,0.1,28.075253,22.699272,153.69847,389.69476,391.1426,0.002304524,0.002324395,0,249
JCBgma20,BSD68,0.1,1,5,10000,7.5,1,250,0.1,28.19145,22.677458,149.40175,386.0714,386.91083,0.002424933,0.002439496,0,249
,,,,,,,,,,,,,,,,,,
STH,BSD68,0.1,1,5,10000,7.5,1,250,0.1,26.44068,23.649088,190.53967,347.7831,423.63397,0.001616311,0.002994267,0,249
smtADV,BSD68,0.1,1,5,10000,7.5,0,0,0,28.268806,22.819092,146.70384,373.96973,0,0.002583763,0,0,0
smtADV,BSD68,0.1,1,5,10000,7.5,1,250,0.1,28.25942,20.105047,146.72594,657.7131,1195.783,0.006707172,0.016295616,0,249
